params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",1.4589555263519287,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",1.3163528442382812,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",1.3142952919006348,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",0.6943631172180176,100,6.17283950617284e-05,0.0,0.0,0.006172839506172839,0.0006141897759917406
"{""discount_factor"": 0.4}",0.7981712818145752,100,7.042253521126761e-05,0.0,0.0,0.007042253521126761,0.0007006953782440986
"{""discount_factor"": 0.5}",0.6621482372283936,100,0.0025440965192645285,0.0,0.0,0.02631578947368421,0.0062308193098363955
"{""discount_factor"": 0.6}",0.6871559619903564,100,0.008992354846504565,0.007119691902300598,0.0,0.047619047619047616,0.010688069708912722
"{""discount_factor"": 0.7}",0.6951568126678467,100,0.01290865732718701,0.011237373737373737,0.0,0.04,0.010904976472483776
"{""discount_factor"": 0.8}",0.8021807670593262,100,0.01239410780898011,0.011112483022595383,0.0,0.05,0.011021098406699462
"{""discount_factor"": 0.9}",0.7561695575714111,100,0.012407873328237028,0.012579113924050634,0.0,0.043478260869565216,0.01069106193699811
