steps,time,reward,delta,converged
1,0.014656305313110352,0.0,0,False
2,0.0058629512786865234,0.0,0,False
3,0.0068395137786865234,0.0,0,False
4,0.0019550323486328125,0.0,0,False
5,0.002932310104370117,0.0,0,False
6,0.006840229034423828,0.0,0,False
7,0.001953601837158203,0.0,0,False
8,0.005863666534423828,0.0,0,False
9,0.0029304027557373047,0.0,0,False
10,0.001954317092895508,0.0,0,False
11,0.0048863887786865234,0.0,0,False
12,0.001953601837158203,0.0,0,False
13,0.001954317092895508,0.0,0,False
14,0.003908872604370117,0.0,0,False
15,0.005862712860107422,0.0,0,False
16,0.0019533634185791016,0.0,0,False
17,0.001955270767211914,0.0,0,False
18,0.0019538402557373047,0.0,0,False
19,0.0009775161743164062,0.0,0,False
20,0.0009763240814208984,0.0,0,False
21,0.004886150360107422,0.0,0,False
22,0.0029315948486328125,0.0,0,False
23,0.002931356430053711,0.0,0,False
24,0.0029315948486328125,0.0,0,False
25,0.004885435104370117,0.0,0,False
26,0.003909587860107422,0.0,0,False
27,0.002930879592895508,0.0,0,False
28,0.00684046745300293,0.0,0,False
29,0.008793830871582031,0.0,0,False
30,0.003908872604370117,0.0,0,False
31,0.0009770393371582031,0.0,0,False
32,0.0009775161743164062,0.0,0,False
33,0.0009775161743164062,0.0,0,False
34,0.015633821487426758,0.0,0,False
35,0.0029315948486328125,0.0,0,False
36,0.004884958267211914,0.0,0,False
37,0.005863666534423828,0.0,0,False
38,0.00586247444152832,0.0,0,False
39,0.0009768009185791016,0.0,0,False
40,0.001953125,0.0,0,False
41,0.0058634281158447266,0.0,0,False
42,0.004885673522949219,0.0,0,False
43,0.009771347045898438,0.0,0,False
44,0.002931833267211914,0.0,0,False
45,0.004885435104370117,0.0,0,False
46,0.0009772777557373047,0.0,0,False
47,0.0029315948486328125,0.0,0,False
48,0.0009770393371582031,0.0,0,False
49,0.0009763240814208984,0.0,0,False
50,0.0019540786743164062,0.0,0,False
51,0.00684046745300293,0.0,0,False
52,0.006840944290161133,0.0,0,False
53,0.008795022964477539,0.0,0,False
54,0.002931356430053711,0.0,0,False
55,0.002931356430053711,0.0,0,False
56,0.011793851852416992,0.0,0,False
57,0.007068157196044922,0.0,0,False
58,0.004885196685791016,0.0,0,False
59,0.004136800765991211,0.0,0,False
60,0.0009779930114746094,0.0,0,False
61,0.0009770393371582031,0.0,0,False
62,0.008045196533203125,0.0,0,False
63,0.0029311180114746094,0.0,0,False
64,0.002931833267211914,0.0,0,False
65,0.010227203369140625,0.0,0,False
66,0.001954317092895508,0.0,0,False
67,0.0019545555114746094,0.0,0,False
68,0.003908395767211914,0.0,0,False
69,0.007808685302734375,0.0,0,False
70,0.006090641021728516,0.0,0,False
71,0.003908872604370117,0.0,0,False
72,0.01609063148498535,0.0,0,False
73,0.003909111022949219,0.0,0,False
74,0.0029230117797851562,0.0,0,False
75,0.01609635353088379,0.0,0,False
76,0.0019550323486328125,0.0,0,False
77,0.003907442092895508,0.0,0,False
78,0.0009775161743164062,0.0,0,False
79,0.0021839141845703125,0.0,0,False
80,0.0,0.0,0,False
81,0.0009770393371582031,0.0,0,False
82,0.003908872604370117,0.0,0,False
83,0.005114555358886719,0.0,0,False
84,0.003908872604370117,0.0,0,False
85,0.012181282043457031,0.0,0,False
86,0.009999275207519531,0.0,0,False
87,0.0039081573486328125,0.0,0,False
88,0.0031671524047851562,0.0,0,False
89,0.02293109893798828,0.0,0,False
90,0.010976791381835938,0.0,0,False
91,0.010977983474731445,0.0,0,False
92,0.003926753997802734,0.0,0,False
93,0.0009772777557373047,0.0,0,False
94,0.005861997604370117,0.0,0,False
95,0.0009770393371582031,0.0,0,False
96,0.001953601837158203,0.0,0,False
97,0.0009770393371582031,0.0,0,False
98,0.0009772777557373047,0.0,0,False
99,0.019544363021850586,0.0,0,False
100,0.005863189697265625,0.0,0,False
101,0.002931356430053711,0.0,0,False
102,0.002931833267211914,0.0,0,False
103,0.01465749740600586,0.0,0,False
104,0.001954317092895508,0.0,0,False
105,0.0029273033142089844,0.0,0,False
106,0.003907918930053711,0.0,0,False
107,0.00391077995300293,0.0,0,False
108,0.0029306411743164062,0.0,0,False
109,0.002931356430053711,0.0,0,False
110,0.0019559860229492188,0.0,0,False
111,0.00781702995300293,0.0,0,False
112,0.0009701251983642578,0.0,0,False
113,0.005861997604370117,0.0,0,False
114,0.001997232437133789,0.0,0,False
115,0.023528337478637695,0.0,0,False
116,0.018565893173217773,0.0,0,False
117,0.0029311180114746094,0.0,0,False
118,0.002931833267211914,0.0,0,False
119,0.00488734245300293,0.0,0,False
120,0.011728286743164062,0.0,0,False
121,0.007819175720214844,0.0,0,False
122,0.002930879592895508,0.0,0,False
123,0.016138792037963867,0.0,0,False
124,0.003908872604370117,0.0,0,False
125,0.0009777545928955078,0.0,0,False
126,0.004886627197265625,0.0,0,False
127,0.003908395767211914,0.0,0,False
128,0.0048863887786865234,0.0,0,False
129,0.009298324584960938,0.0,0,False
130,0.006846904754638672,0.0,0,False
131,0.009305477142333984,0.0,0,False
132,0.021491050720214844,0.0,0,False
133,0.0048863887786865234,0.0,0,False
134,0.006839275360107422,0.0,0,False
135,0.0058629512786865234,0.0,0,False
136,0.007817268371582031,0.0,0,False
137,0.0039081573486328125,0.0,0,False
138,0.002931833267211914,0.0,0,False
139,0.0019550323486328125,0.0,0,False
140,0.018565893173217773,0.0,0,False
141,0.0009772777557373047,0.0,0,False
142,0.007816314697265625,0.0,0,False
143,0.004886150360107422,0.0,0,False
144,0.005862712860107422,0.0,0,False
145,0.0019550323486328125,0.0,0,False
146,0.009771108627319336,0.0,0,False
147,0.0039081573486328125,0.0,0,False
148,0.011726140975952148,0.0,0,False
149,0.023450851440429688,0.0,0,False
150,0.002931356430053711,0.0,0,False
151,0.0009772777557373047,0.0,0,False
152,0.0,0.0,0,False
153,0.024428367614746094,0.0,0,False
154,0.0019538402557373047,0.0,0,False
155,0.005863189697265625,0.0,0,False
156,0.019542694091796875,0.0,0,False
157,0.006839752197265625,0.0,0,False
158,0.00684046745300293,0.0,0,False
159,0.006839752197265625,0.0,0,False
160,0.0058629512786865234,0.0,0,False
161,0.012918710708618164,0.0,0,False
162,0.005862712860107422,0.0,0,False
163,0.0021941661834716797,0.0,0,False
164,0.003896474838256836,0.0,0,False
165,0.015122413635253906,0.0,0,False
166,0.0009779930114746094,0.0,0,False
167,0.01999974250793457,0.0,0,False
168,0.008051872253417969,0.0,0,False
169,0.020976543426513672,0.0,0,False
170,0.001954793930053711,0.0,0,False
171,0.001954317092895508,0.0,0,False
172,0.022931337356567383,0.0,0,False
173,0.007817506790161133,0.0,0,False
174,0.002408742904663086,0.0,0,False
175,0.023908615112304688,0.0,0,False
176,0.0051233768463134766,0.0,0,False
177,0.010977983474731445,0.0,0,False
178,0.005861997604370117,0.0,0,False
179,0.004135847091674805,0.0,0,False
180,0.003908634185791016,0.0,0,False
181,0.00511479377746582,0.0,0,False
182,0.003907918930053711,0.0,0,False
183,0.023168563842773438,0.0,0,False
184,0.018784046173095703,0.0,0,False
185,0.015114545822143555,0.0,0,False
186,0.004885435104370117,0.0,0,False
187,0.023159265518188477,0.0,0,False
188,0.002931356430053711,0.0,0,False
189,0.022931575775146484,0.0,0,False
190,0.006092071533203125,0.0,0,False
191,0.0009763240814208984,0.0,0,False
192,0.02414393424987793,0.0,0,False
193,0.01194620132446289,0.0,0,False
194,0.023907184600830078,0.0,0,False
195,0.02414560317993164,0.0,0,False
196,0.011944770812988281,0.0,0,False
197,0.02293109893798828,0.0,0,False
198,0.020977020263671875,0.0,0,False
199,0.01315927505493164,0.0,0,False
200,0.023908138275146484,0.0,0,True
