episode,length,time,reward,delta
0,9.0,0.0,0.0,0.0005956800449596256
1,33.0,0.0009999275207519531,0.0,0.00012769276422957437
2,120.0,0.005002021789550781,0.0,-0.00018580261907459497
3,31.0,0.0010001659393310547,0.0,-1.8580261907459508e-05
4,26.0,0.0010004043579101562,0.0,4.011837043885007e-05
5,68.0,0.003000974655151367,0.0,0.0007363010674158553
6,62.0,0.0030007362365722656,0.0,-0.0002632192534997225
7,43.0,0.002001047134399414,0.0,-0.00014823448770428263
8,112.0,0.005002021789550781,0.0,-0.00015842411460731994
9,15.0,0.0010006427764892578,0.0,0.00028488953403848724
10,20.0,0.0010004043579101562,0.0,-1.5842411460731984e-05
11,20.0,0.0009996891021728516,0.0,2.8488953403848724e-05
12,34.0,0.0019996166229248047,0.0,0.0004001149829778877
13,53.0,0.003000497817993164,0.0,0.0001400282369484506
14,10.0,0.0009999275207519531,0.0,0.0001902494215338513
15,9.0,0.0010001659393310547,0.0,0.0002897897090493785
16,6.0,0.001001119613647461,0.0,1.902494215338512e-05
17,9.0,0.0,0.0,2.897897090493786e-05
18,11.0,0.0010001659393310547,0.0,-0.000549323883871909
19,28.0,0.0010001659393310547,0.0,-0.00031965920920242787
20,4.0,0.0,0.0,1.9024942153384903e-06
21,28.0,0.0010001659393310547,0.0,0.00034401368295840435
22,32.0,0.0020003318786621094,0.0,-6.7068885549018435e-06
23,44.0,0.0030007362365722656,0.0,0.0001550543591806084
24,62.0,0.0030012130737304688,0.0,0.00030859366344740174
25,18.0,0.0010001659393310547,0.0,0.00017098448446606395
26,20.0,0.0010008811950683594,0.0,0.0003322312919151109
27,6.0,0.0010006427764892578,0.0,3.322312919151109e-05
28,11.0,0.0009999275207519531,0.0,3.3223129191511415e-06
29,9.0,0.0010004043579101562,0.0,0.00019928327665945974
30,28.0,0.0009996891021728516,0.0,8.632090738201802e-05
31,32.0,0.0020008087158203125,0.0,0.00011196721373854057
32,18.0,0.0009996891021728516,0.0,0.0007573161452789494
33,12.0,0.0,0.0,0.00018319573538274877
34,55.0,0.0020017623901367188,0.0,1.8319573538274855e-05
35,9.0,0.0,0.0,0.0003719632204865536
36,14.0,0.0009999275207519531,0.0,0.000407549686946982
37,15.0,0.0010001659393310547,0.0,0.00018663039149970626
38,34.0,0.0019998550415039062,0.0,0.0003683624477581421
39,24.0,0.002000570297241211,0.0,3.6836244775814144e-05
40,15.0,0.00099945068359375,0.0,0.000220148650577663
41,69.0,0.004000425338745117,0.0,0.0003185452115767912
42,20.0,0.0009999275207519531,0.0,0.0004233834905885123
43,42.0,0.002001047134399414,0.0,-6.372346724885887e-05
44,4.0,0.0,0.0,0.0003466365159798267
45,13.0,0.0,0.0,0.0004343139165424956
46,9.0,0.0,0.0,0.00020426885609799432
47,19.0,0.0010004043579101562,0.0,0.000394532737755954
48,209.0,0.010003089904785156,0.0,-0.00012318374018236773
49,52.0,0.002001047134399414,0.0,0.0004641072710247245
50,13.0,0.0010001659393310547,0.0,0.00015285754027461569
51,30.0,0.0009996891021728516,0.0,-0.00031644963905194277
52,75.0,0.0030007362365722656,0.0,0.00023766881408275684
53,54.0,0.0020003318786621094,0.0,0.00025796876671906944
54,9.0,0.0,0.0,0.00026676465731585936
55,13.0,0.0,0.0,0.00025294150870820947
56,56.0,0.002000570297241211,0.0,-5.150061484870993e-05
57,15.0,0.0010008811950683594,0.0,0.00035253044064251324
58,4.0,0.0,0.0,0.00040141762303444277
59,13.0,0.0010008811950683594,0.0,4.0141762303444266e-05
60,17.0,0.0010006427764892578,0.0,4.0141762303444375e-06
61,57.0,0.0030007362365722656,0.0,-0.00013666140508555586
62,21.0,0.0010008811950683594,0.0,0.00020220695750225546
