episode,length,time,reward,delta
0,28.0,0.0019540786743164062,0.0,-0.0007907735761319685
1,28.0,0.001954317092895508,0.0,-0.0004759475080273856
2,8.0,0.0,0.0,-0.0004082387725076261
3,29.0,0.0009772777557373047,0.0,-0.0006750199502305381
4,48.0,0.0019545555114746094,0.0,-4.284512558763304e-05
5,50.0,0.001954317092895508,0.0,-0.00011868994204804705
6,24.0,0.001954317092895508,0.0,-0.00010485384013788311
7,10.0,0.0009775161743164062,0.0,-0.00023797375401369284
8,14.0,0.0009765625,0.0,-0.0002041193862538131
9,23.0,0.0009777545928955078,0.0,-0.0004695955785285509
10,34.0,0.0009772777557373047,0.0,-0.00042292726311875066
11,81.0,0.003908395767211914,0.0,-0.00010147327779806038
12,48.0,0.002931356430053711,0.0,-0.00011898687700684643
13,16.0,0.0009775161743164062,0.0,-0.00021146363155937536
14,35.0,0.001954317092895508,0.0,-0.0009048803496488091
15,55.0,0.0029311180114746094,0.0,-0.0006859869739183498
16,16.0,0.0009772777557373047,0.0,-7.369663279667726e-05
17,29.0,0.0009770393371582031,0.0,-0.00022014308687935336
18,7.0,0.0,0.0,-7.909001115504954e-06
19,8.0,0.0009765625,0.0,-3.684831639833864e-05
20,23.0,0.0009777545928955078,0.0,-2.1855323142306424e-05
21,76.0,0.0029311180114746094,0.0,-7.452046301957915e-05
22,55.0,0.0019545555114746094,0.0,-0.00010205969312690653
23,62.0,0.0029320716857910156,0.0,2.0203719544665424e-05
24,36.0,0.0019538402557373047,0.0,-0.00042924291917786233
25,8.0,0.0009777545928955078,0.0,1.528029459091815e-05
26,36.0,0.001953601837158203,0.0,-0.0003429934869591749
27,18.0,0.0,0.0,-0.00011007154343967669
28,13.0,0.0009758472442626953,0.0,-1.8424158199169312e-05
29,6.0,0.0,0.0,-4.586977384604134e-05
30,27.0,0.0009770393371582031,0.0,-1.9551182068641186e-05
31,19.0,0.000978231430053711,0.0,-9.775591034320593e-06
32,6.0,0.0,0.0,-4.887795517160293e-06
33,63.0,0.002931356430053711,0.0,-0.00027167491637119785
34,31.0,0.001954317092895508,0.0,-9.21207909958465e-06
35,11.0,0.0009770393371582031,0.0,-2.4438977585801466e-06
36,15.0,0.0009775161743164062,0.0,1.1189900138185893e-05
37,16.0,0.0009768009185791016,0.0,3.6658125187458754e-05
38,15.0,0.0009775161743164062,0.0,1.1932352628025989e-05
39,52.0,0.001954317092895508,0.0,-0.00030102603424058
40,12.0,0.0,0.0,-5.783890500914152e-05
41,21.0,0.0009770393371582031,0.0,2.6844926537140877e-05
42,12.0,0.0009772777557373047,0.0,-1.2219488792900767e-06
43,32.0,0.0019550323486328125,0.0,-0.00047314021264713995
44,20.0,0.0009768009185791016,0.0,1.789839071734327e-05
45,70.0,0.0029306411743164062,0.0,-0.00017149674347958748
46,65.0,0.003908634185791016,0.0,-0.0008058215328959771
47,47.0,0.001954793930053711,0.0,2.1958303941164475e-05
48,105.0,0.004886150360107422,0.0,2.2232326937508583e-05
49,59.0,0.002931833267211914,0.0,-0.00015051301712028998
50,18.0,0.0,0.0,4.185724162475847e-05
51,14.0,0.0009768009185791016,0.0,2.928890999593168e-05
52,23.0,0.0009779930114746094,0.0,-0.0001778328526773096
53,8.0,0.0,0.0,-0.00010250390178289038
54,29.0,0.001955270767211914,0.0,-0.00011999099748881546
55,11.0,0.0009768009185791016,0.0,2.0928620812379233e-05
56,29.0,0.0019538402557373047,0.0,-9.046452949331988e-05
57,65.0,0.002931833267211914,0.0,3.161522791669879e-05
58,19.0,0.0010211467742919922,0.0,1.4644454997965842e-05
59,39.0,0.0019459724426269531,0.0,-0.00031349604042514535
60,30.0,0.0009772777557373047,0.0,2.0834873568487232e-05
61,20.0,0.0009770393371582031,0.0,-0.00042121583652587153
62,8.0,0.0,0.0,2.3112205069715412e-05
63,48.0,0.001954793930053711,0.0,9.007384652145857e-05
64,35.0,0.0019540786743164062,0.0,4.351451264516138e-05
65,14.0,0.0,0.0,1.9672484160615907e-05
66,11.0,0.0,0.0,-1.0883024324489712e-05
67,27.0,0.0009777545928955078,0.0,2.9836707706108096e-05
68,7.0,0.0,0.0,1.4918353853054048e-05
69,15.0,0.0009772777557373047,0.0,4.695059873848461e-05
70,15.0,0.0,0.0,6.24822933052857e-05
71,38.0,0.0019540786743164062,0.0,2.8044047239674254e-05
72,10.0,0.0,0.0,3.224179729323465e-05
73,14.0,0.0009768009185791016,0.0,4.338951281040413e-05
74,4.0,0.0,0.0,1.6120898646617323e-05
75,25.0,0.0009772777557373047,0.0,1.5400048116560156e-05
76,19.0,0.0009768009185791016,0.0,-8.891642633865481e-05
77,28.0,0.0009770393371582031,0.0,-8.574837173979374e-05
78,29.0,0.0009763240814208984,0.0,4.725304088540257e-05
79,11.0,0.000986337661743164,0.0,2.4978185132438273e-05
80,42.0,0.0019481182098388672,0.0,2.18789892219021e-05
81,12.0,0.0009768009185791016,0.0,8.048692811391768e-05
82,39.0,0.0019545555114746094,0.0,3.99411194937727e-05
83,21.0,0.0009768009185791016,0.0,5.447693589216864e-05
84,15.0,0.0009770393371582031,0.0,5.0547604262889524e-05
85,19.0,0.0009903907775878906,0.0,2.960899649077466e-05
86,15.0,0.0009663105010986328,0.0,4.0243464056958836e-05
87,12.0,0.0,0.0,3.196077735955135e-05
88,16.0,0.0,0.0,1.480449824538733e-05
89,21.0,0.0009775161743164062,0.0,3.583199422204863e-05
90,12.0,0.0009775161743164062,0.0,7.402249122693667e-06
91,23.0,0.0019540786743164062,0.0,2.7784588434362258e-05
92,26.0,0.0009768009185791016,0.0,6.329243289903373e-05
93,15.0,0.0,0.0,7.58081969841029e-05
94,60.0,0.0029320716857910156,0.0,3.089660176279801e-05
95,7.0,0.0009763240814208984,0.0,2.454395033940553e-05
96,51.0,0.0019545555114746094,0.0,-0.00045244017482440454
97,31.0,0.0009768009185791016,0.0,4.923014887953057e-05
98,4.0,0.0,0.0,3.27419155771033e-05
99,22.0,0.0019464492797851562,0.0,7.109504883790952e-05
100,21.0,0.0009775161743164062,0.0,3.181224556224553e-05
101,17.0,0.0009768009185791016,0.0,6.787574919292076e-05
102,9.0,0.0,0.0,6.170207086754847e-05
103,29.0,0.0009768009185791016,0.0,3.0851035433774235e-05
104,7.0,0.0,0.0,3.3141052996614204e-05
105,26.0,0.0019621849060058594,0.0,1.2271975169702765e-05
106,40.0,0.0019474029541015625,0.0,4.575773407014953e-05
107,36.0,0.0019540786743164062,0.0,5.057132848201321e-05
108,26.0,0.0009779930114746094,0.0,4.529776459869677e-07
109,13.0,0.0009765625,0.0,5.871060179582817e-05
110,5.0,0.0009772777557373047,0.0,3.343224712788493e-05
