episode,length,time,reward,delta
0,84.0,0.004003047943115234,0.0,-0.00021696597231837095
1,32.0,0.0010008811950683594,0.0,1.2733251845785506e-05
2,24.0,0.0010001659393310547,0.0,-0.0006111607357769828
3,8.0,0.0,0.0,0.0001317482338621908
4,31.0,0.0010006427764892578,0.0,-0.00010987031057899365
5,9.0,0.0,0.0,-2.450836984743026e-05
6,13.0,0.0,0.0,-2.4508369847430476e-06
7,71.0,0.0030002593994140625,0.0,-0.00023863766108592915
8,11.0,0.0,0.0,-2.1696597231837095e-05
9,7.0,0.0,0.0,-2.45083698474321e-07
10,43.0,0.003000497817993164,0.0,-2.4508369847410418e-08
11,18.0,0.0010006427764892578,0.0,-2.450836984746463e-09
12,35.0,0.001001119613647461,0.0,-0.00010349560361637406
13,22.0,0.0009999275207519531,0.0,1.6489299997516315e-05
14,16.0,0.0010006427764892578,0.0,-0.00039798275649229596
15,31.0,0.0010008811950683594,0.0,0.0001442005536855159
16,66.0,0.003000974655151367,0.0,0.00018583065975876807
17,43.0,0.0020008087158203125,0.0,3.192771090919708e-05
18,22.0,0.0010004043579101562,0.0,4.4420502734805484e-05
19,39.0,0.002000570297241211,0.0,5.702245055417331e-05
20,78.0,0.004001140594482422,0.0,0.00030149983320607694
21,32.0,0.0020003318786621094,0.0,0.0003105807719191187
22,96.0,0.005002021789550781,0.0,-0.00036922589548315783
23,13.0,0.0,0.0,8.749395886844776e-05
24,30.0,0.001001119613647461,0.0,0.0003279439791980703
25,22.0,0.0010006427764892578,0.0,0.0003204761628861533
26,9.0,0.0,0.0,3.279439791980702e-05
27,109.0,0.005000591278076172,0.0,0.00037386813319206585
28,13.0,0.0009996891021728516,0.0,3.2794397919806858e-06
29,40.0,0.002000570297241211,0.0,-0.00026301355117831283
30,9.0,0.0,0.0,3.0149983320607704e-05
31,10.0,0.0,0.0,3.20476162886153e-05
32,8.0,0.0,0.0,-9.7589606548045e-05
33,38.0,0.0020003318786621094,0.0,-7.889069283542301e-05
34,38.0,0.0019998550415039062,0.0,8.749395886844744e-06
35,30.0,0.0020008087158203125,0.0,-1.3463688892820301e-05
36,63.0,0.0030014514923095703,0.0,0.0002185601664579567
37,5.0,0.0,0.0,0.00029944012956578653
38,20.0,0.0009999275207519531,0.0,2.9944012956578637e-05
39,13.0,0.00099945068359375,0.0,2.994401295657869e-06
40,28.0,0.002000093460083008,0.0,0.00034103110780008607
41,38.0,0.0020003318786621094,0.0,-8.774117969518507e-06
42,44.0,0.0019996166229248047,0.0,3.41031107800086e-05
43,5.0,0.0,0.0,3.4103110780008385e-06
44,24.0,0.0010001659393310547,0.0,-0.0001104462744280101
45,30.0,0.002001047134399414,0.0,3.410311078000947e-07
46,18.0,0.0010006427764892578,0.0,0.0002247687822589143
47,8.0,0.0,0.0,2.247687822589143e-05
48,6.0,0.0,0.0,0.0003176120732558192
49,11.0,0.0010004043579101562,0.0,0.00023242456962056844
50,24.0,0.0019998550415039062,0.0,-4.1216736094698385e-05
51,12.0,0.001001596450805664,0.0,0.00031986166175457866
52,24.0,0.0009999275207519531,0.0,0.0002602286092841399
53,70.0,0.0030007362365722656,0.0,-0.00021381042276421213
54,13.0,0.0,0.0,0.00032869211381309236
55,13.0,0.0010008811950683594,0.0,0.0003750225689464914
56,16.0,0.0010004043579101562,0.0,8.379675751658334e-05
57,46.0,0.0030012130737304688,0.0,0.00020049325962930882
58,10.0,0.0010006427764892578,0.0,0.00023621011689949783
59,16.0,0.0010004043579101562,0.0,0.0003519294497870431
60,59.0,0.0020003318786621094,0.0,0.0004669336602529931
61,40.0,0.002001047134399414,0.0,-0.00010804513676771561
62,41.0,0.002001047134399414,0.0,4.851283259144632e-05
63,43.0,0.0020008087158203125,0.0,-4.6322617008909034e-05
64,36.0,0.0020008087158203125,0.0,-5.145792445563176e-05
65,19.0,0.0010008811950683594,0.0,2.3621011689949772e-05
66,17.0,0.0010004043579101562,0.0,2.36210116899495e-06
67,47.0,0.003000974655151367,0.0,-0.0003969921597399594
68,17.0,0.0010006427764892578,0.0,2.36210116899495e-07
69,17.0,0.0010006427764892578,0.0,0.00035893357431289816
70,12.0,0.0010006427764892578,0.0,0.0003387784672965186
71,24.0,0.0010006427764892578,0.0,0.0001778967407697137
72,31.0,0.0010006427764892578,0.0,0.0002892563817298074
73,8.0,0.0,0.0,0.00031576832741038875
74,11.0,0.0,0.0,2.6022860928413957e-05
75,12.0,0.0,0.0,3.387784672965186e-05
76,7.0,0.0,0.0,2.3621011689916975e-08
77,23.0,0.0009999275207519531,0.0,3.157683274103884e-05
78,84.0,0.005001068115234375,0.0,0.0003410185089321812
79,20.0,0.0009999275207519531,0.0,2.6022860928413523e-06
80,22.0,0.0020012855529785156,0.0,2.8925638172980727e-05
81,7.0,0.0,0.0,0.0003228414231995298
82,14.0,0.0010006427764892578,0.0,0.0002373907958028062
83,19.0,0.0010004043579101562,0.0,0.00035117302422942904
84,10.0,0.0,0.0,2.602286092841461e-07
85,22.0,0.0010008811950683594,0.0,1.7789674076971367e-05
86,27.0,0.0020008087158203125,0.0,-7.648062899858268e-05
87,28.0,0.0010001659393310547,0.0,2.3739079580280622e-05
88,16.0,0.001001119613647461,0.0,0.0003524794268782697
89,9.0,0.0010006427764892578,0.0,2.373907958028057e-06
90,31.0,0.0020008087158203125,0.0,-5.1457924455631816e-06
91,9.0,0.0010006427764892578,0.0,0.00030169196942117775
92,29.0,0.0020008087158203125,0.0,3.0169196942117754e-05
93,9.0,0.0010008811950683594,0.0,8.289104561809446e-05
94,9.0,0.0010006427764892578,0.0,0.0003128712031896056
95,33.0,0.0020008087158203125,0.0,8.289104561809435e-06
