steps,time,reward,delta,converged
1,0.0009768009185791016,0.0,0,False
2,0.002931356430053711,0.0,0,False
3,0.001954317092895508,0.0,0,False
4,0.0009770393371582031,0.0,0,False
5,0.002931356430053711,0.0,0,False
6,0.0009770393371582031,0.0,0,False
7,0.0,0.0,0,False
8,0.0009770393371582031,0.0,0,False
9,0.011763334274291992,0.0,0,False
10,0.01176762580871582,0.0,0,False
11,0.0009772777557373047,0.0,0,False
12,0.0029931068420410156,0.0,0,False
13,0.006831645965576172,0.0,0,False
14,0.0019545555114746094,0.0,0,False
15,0.0009772777557373047,0.0,0,False
16,0.0019540786743164062,0.0,0,False
17,0.0009768009185791016,0.0,0,False
18,0.0009775161743164062,0.0,0,False
19,0.007816791534423828,0.0,0,False
20,0.00488591194152832,0.0,0,False
21,0.001954317092895508,0.0,0,False
22,0.0009772777557373047,0.0,0,False
23,0.0029315948486328125,0.0,0,False
24,0.0,0.0,0,False
25,0.0,0.0,0,False
26,0.002931833267211914,0.0,0,False
27,0.00781702995300293,0.0,0,False
28,0.009771585464477539,0.0,0,False
29,0.012228727340698242,0.0,0,False
30,0.0009772777557373047,0.0,0,False
31,0.008793830871582031,0.0,0,False
32,0.0029315948486328125,0.0,0,False
33,0.001954317092895508,0.0,0,False
34,0.003908634185791016,0.0,0,False
35,0.0058629512786865234,0.0,0,False
36,0.0014801025390625,0.0,0,False
37,0.0029315948486328125,0.0,0,False
38,0.01074838638305664,0.0,0,False
39,0.00441741943359375,0.0,0,False
40,0.0029256343841552734,0.0,0,False
41,0.0009770393371582031,0.0,0,False
42,0.011725902557373047,0.0,0,False
43,0.001954317092895508,0.0,0,False
44,0.003434419631958008,0.0,0,False
45,0.001954317092895508,0.0,0,False
46,0.003908395767211914,0.0,0,False
47,0.0009772777557373047,0.0,0,False
48,0.0068399906158447266,0.0,0,False
49,0.0019545555114746094,0.0,0,False
50,0.004412651062011719,0.0,0,False
51,0.0058629512786865234,0.0,0,False
52,0.003908634185791016,0.0,0,False
53,0.0009765625,0.0,0,False
54,0.005398750305175781,0.0,0,False
55,0.0048770904541015625,0.0,0,False
56,0.0009770393371582031,0.0,0,False
57,0.001954317092895508,0.0,0,False
58,0.0009772777557373047,0.0,0,False
59,0.009771585464477539,0.0,0,False
60,0.0019540786743164062,0.0,0,False
61,0.01125192642211914,0.0,0,False
62,0.002931833267211914,0.0,0,False
63,0.003908395767211914,0.0,0,False
64,0.00488591194152832,0.0,0,False
65,0.007343292236328125,0.0,0,False
66,0.0,0.0,0,False
67,0.0009775161743164062,0.0,0,False
68,0.0019540786743164062,0.0,0,False
69,0.001954317092895508,0.0,0,False
70,0.004885673522949219,0.0,0,False
71,0.0005114078521728516,0.0,0,False
72,0.00781702995300293,0.0,0,False
73,0.005863189697265625,0.0,0,False
74,0.011251449584960938,0.0,0,False
75,0.005862712860107422,0.0,0,False
76,0.007817506790161133,0.0,0,False
77,0.0029315948486328125,0.0,0,False
78,0.0009770393371582031,0.0,0,False
79,0.0063784122467041016,0.0,0,False
80,0.0009772777557373047,0.0,0,False
81,0.017590761184692383,0.0,0,False
82,0.002931356430053711,0.0,0,False
83,0.004895687103271484,0.0,0,False
84,0.004885673522949219,0.0,0,False
85,0.004887580871582031,0.0,0,False
86,0.0019545555114746094,0.0,0,False
87,0.006842374801635742,0.0,0,False
88,0.00684046745300293,0.0,0,False
89,0.0009765625,0.0,0,False
90,0.0024602413177490234,0.0,0,False
91,0.001954317092895508,0.0,0,False
92,0.010749101638793945,0.0,0,False
93,0.003909111022949219,0.0,0,False
94,0.017118215560913086,0.0,0,False
95,0.004418849945068359,0.0,0,False
96,0.001954317092895508,0.0,0,False
97,0.0029306411743164062,0.0,0,False
98,0.011728286743164062,0.0,0,False
99,0.0009770393371582031,0.0,0,False
100,0.0009768009185791016,0.0,0,False
101,0.01125192642211914,0.0,0,False
102,0.011728048324584961,0.0,0,False
103,0.00539088249206543,0.0,0,False
104,0.004886150360107422,0.0,0,False
105,0.006841421127319336,0.0,0,False
106,0.002931833267211914,0.0,0,False
107,0.0009770393371582031,0.0,0,False
108,0.003908872604370117,0.0,0,False
109,0.0058629512786865234,0.0,0,False
110,0.007343292236328125,0.0,0,False
111,0.015172719955444336,0.0,0,False
112,0.0058557987213134766,0.0,0,False
113,0.010751008987426758,0.0,0,False
114,0.007344484329223633,0.0,0,False
115,0.003917217254638672,0.0,0,False
116,0.012224435806274414,0.0,0,False
117,0.019073963165283203,0.0,0,False
118,0.00488591194152832,0.0,0,False
119,0.008795738220214844,0.0,0,False
120,0.0019538402557373047,0.0,0,False
121,0.0015034675598144531,0.0,0,False
122,0.018545150756835938,0.0,0,False
123,0.006368160247802734,0.0,0,False
124,0.011727094650268555,0.0,0,False
125,0.0019545555114746094,0.0,0,False
126,0.004885673522949219,0.0,0,False
127,0.01320648193359375,0.0,0,False
128,0.006842851638793945,0.0,0,False
129,0.011251688003540039,0.0,0,False
130,0.006842374801635742,0.0,0,False
131,0.0048863887786865234,0.0,0,False
132,0.022704601287841797,0.0,0,False
133,0.0220034122467041,0.0,0,False
134,0.00879669189453125,0.0,0,False
135,0.001954317092895508,0.0,0,False
136,0.012702226638793945,0.0,0,False
137,0.00781702995300293,0.0,0,False
138,0.003908395767211914,0.0,0,False
139,0.02345132827758789,0.0,0,False
140,0.005863666534423828,0.0,0,False
141,0.024428606033325195,0.0,0,False
142,0.019543170928955078,0.0,0,False
143,0.0029306411743164062,0.0,0,False
144,0.0048863887786865234,0.0,0,False
145,0.0009765625,0.0,0,False
146,0.005862236022949219,0.0,0,False
147,0.003908872604370117,0.0,0,False
148,0.0029311180114746094,0.0,0,False
149,0.01074838638305664,0.0,0,False
150,0.005863189697265625,0.0,0,False
151,0.01661062240600586,0.0,0,False
152,0.004887580871582031,0.0,0,False
153,0.0019533634185791016,0.0,0,False
154,0.023452043533325195,0.0,0,False
155,0.011725187301635742,0.0,0,False
156,0.0058634281158447266,0.0,0,False
157,0.02051997184753418,0.0,0,False
158,0.023450851440429688,0.0,0,False
159,0.013680219650268555,0.0,0,False
160,0.021500587463378906,0.0,0,False
161,0.0009763240814208984,0.0,0,False
162,0.005863666534423828,0.0,0,False
