episode,length,time,reward,delta
0,90.0,0.004008293151855469,0.0,-0.0004428238163103166
1,9.0,0.0,0.0,-0.00039854143467928495
2,15.0,0.0,0.0,-0.000557378593388933
3,20.0,0.0010006427764892578,0.0,-0.0004586509128689557
4,52.0,0.002000093460083008,0.0,-0.0003331057086763372
5,42.0,0.0019991397857666016,0.0,-0.0008046769760618859
6,48.0,0.0020003318786621094,0.0,-0.0004458238562071701
7,105.0,0.005001068115234375,0.0,-0.0006465373422586253
8,62.0,0.0030012130737304688,0.0,-0.0007171298098975278
9,86.0,0.004001140594482422,0.0,-0.0007807753190879427
10,27.0,0.0019915103912353516,0.0,-0.000616433525239902
11,25.0,0.0010006427764892578,0.0,-0.0003166184911979795
12,51.0,0.0020008087158203125,0.0,-0.0007026977871791484
13,30.0,0.0010008811950683594,0.0,-0.0007701142684757657
14,50.0,0.0020003318786621094,0.0,-0.0008667755318992807
15,19.0,0.0,0.0,-0.0003080735582978182
16,10.0,0.0,0.0,-1.952449443631959e-05
17,24.0,0.00099945068359375,0.0,-0.0002849566420781815
18,62.0,0.003000497817993164,0.0,-0.0003789506114954749
19,63.0,0.003000974655151367,0.0,-0.00023514339607516466
20,34.0,0.0010001659393310547,0.0,-0.0006324280084612335
21,48.0,0.002001047134399414,0.0,-9.91863664086072e-05
22,98.0,0.0050013065338134766,0.0,-0.00012293410554963473
23,11.0,0.0,0.0,-0.0001881077557959819
24,32.0,0.0009899139404296875,0.0,-0.00016869282404209594
25,27.0,0.0010001659393310547,0.0,-0.0002116290564676482
26,7.0,0.0009996891021728516,0.0,-0.00013918675444048214
27,30.0,0.002000570297241211,0.0,-0.0003660844474928215
28,25.0,0.0019996166229248047,0.0,-0.00025646097787036337
29,51.0,0.0020008087158203125,0.0,-0.0006454712098201967
30,18.0,0.0009999275207519531,0.0,-0.00012274926192622896
31,28.0,0.002000570297241211,0.0,-0.0004215605632798251
32,17.0,0.0010001659393310547,0.0,-0.0002369312323059551
33,19.0,0.0,0.0,-0.0001904661508208834
34,133.0,0.00600123405456543,0.0,-0.00025358033969764284
35,28.0,0.0010001659393310547,0.0,-0.0005809240888381771
36,27.0,0.0010001659393310547,0.0,-0.00017178655702851795
37,16.0,0.0010001659393310547,0.0,-5.351825498134166e-05
38,24.0,0.0010001659393310547,0.0,-0.0005672253409701081
39,86.0,0.004001140594482422,0.0,-0.0006850121409510673
40,53.0,0.0020003318786621094,0.0,-0.0006165109268559605
41,40.0,0.0020003318786621094,0.0,-0.00015460790132566617
42,66.0,0.003000974655151367,0.0,-0.0001016041253931403
43,26.0,0.0010001659393310547,0.0,-0.00013891390190515248
44,21.0,0.0010008811950683594,0.0,-0.0004471897951689653
45,36.0,0.0020003318786621094,0.0,-1.471813358914142e-06
46,35.0,0.0020008087158203125,0.0,-0.00010484257371128278
47,36.0,0.002001047134399414,0.0,-0.0005818836080327629
48,14.0,0.0010001659393310547,0.0,-2.8939760315741073e-05
49,24.0,0.0010001659393310547,0.0,-2.6045784284166974e-05
50,35.0,0.002000570297241211,0.0,-9.435831634015452e-05
51,8.0,0.0010001659393310547,0.0,-8.687370631792004e-05
52,69.0,0.0040013790130615234,0.0,-0.00033447649052642834
53,21.0,0.0010001659393310547,0.0,-7.818633568612801e-05
54,36.0,0.0020003318786621094,0.0,-0.0003669440979880875
55,16.0,0.0,0.0,-7.03677021175152e-05
56,25.0,0.0010001659393310547,0.0,-0.00040247081565206877
57,5.0,0.0,0.0,-4.1937912499347244e-05
58,19.0,0.0010001659393310547,0.0,-3.774412124941251e-05
59,16.0,0.0010001659393310547,0.0,-6.325679175597307e-05
60,18.0,0.0010001659393310547,0.0,-0.0003200461150365445
61,37.0,0.0020003318786621094,0.0,-0.00023511933062265306
62,14.0,0.0,0.0,-5.693111258037577e-05
63,26.0,0.0010004043579101562,0.0,1.0613146881401466e-05
64,23.0,0.0010008811950683594,0.0,-5.123800132233818e-05
65,33.0,0.0020003318786621094,0.0,1.2998121397173523e-05
66,40.0,0.002001047134399414,0.0,-2.6184688219924875e-05
67,55.0,0.0020003318786621094,0.0,-0.0003420911360368069
68,68.0,0.0030007362365722656,0.0,-3.0268417331600446e-05
69,38.0,0.002000570297241211,0.0,2.474883131276163e-05
70,13.0,0.0,0.0,-2.724157559844039e-05
71,17.0,0.00099945068359375,0.0,2.2273948181485457e-05
72,8.0,0.0,0.0,-2.3566219397932396e-05
73,65.0,0.003000497817993164,0.0,-0.00033024968818927875
74,80.0,0.00400090217590332,0.0,-0.0001046048813482915
75,10.0,0.0,0.0,-2.4517418038596357e-05
76,30.0,0.0010001659393310547,0.0,-1.5172900942817783e-05
77,20.0,0.0010001659393310547,0.0,-2.2065676234736732e-05
78,7.0,0.0,0.0,-2.1209597458139148e-05
79,29.0,0.0010001659393310547,0.0,-0.0004923976166302573
80,29.0,0.0009999275207519531,0.0,-0.00027428661545291996
81,26.0,0.0010004043579101562,0.0,-5.951992065088564e-05
82,66.0,0.003000497817993164,0.0,-6.544903412494143e-05
83,84.0,0.004000186920166016,0.0,-1.9088637712325225e-05
84,88.0,0.004000663757324219,0.0,-0.0007216165156168413
85,27.0,0.0009999275207519531,0.0,-6.3677713231889016e-06
86,5.0,0.0,0.0,6.024830626041076e-05
87,46.0,0.002000570297241211,0.0,-0.0006494548640551572
88,7.0,0.0010004043579101562,0.0,5.422347563436967e-05
89,55.0,0.0030007362365722656,0.0,-5.356792858579709e-05
90,23.0,0.0019998550415039062,0.0,-1.7179773941092697e-05
91,75.0,0.0040013790130615234,0.0,-0.00043587738143614573
92,9.0,0.0010001659393310547,0.0,-1.365561084853601e-05
93,115.0,0.006001472473144531,0.0,-0.0002997951378087035
94,15.0,0.0010001659393310547,0.0,5.984987267217114e-05
95,29.0,0.0020003318786621094,0.0,6.451178065073007e-05
96,63.0,0.003000497817993164,0.0,-0.00020480770128342152
97,5.0,0.0,0.0,-1.2290049763682412e-05
98,42.0,0.002000570297241211,0.0,-4.821113572721738e-05
99,54.0,0.003000497817993164,0.0,-0.0003078820224331262
100,37.0,0.002001047134399414,0.0,-0.0001620421332707059
101,30.0,0.0020003318786621094,0.0,7.810438742801892e-05
