episode,length,time,reward,delta
0,7.0,0.0,0.0,-8.372351752015595e-05
1,64.0,0.003000497817993164,0.0,-0.0007623569907784036
2,21.0,0.0010006427764892578,0.0,-0.0007795234898028884
3,42.0,0.0020008087158203125,0.0,-0.00024548323259756833
4,20.0,0.0010004043579101562,0.0,-9.81163065923682e-06
5,35.0,0.0020012855529785156,0.0,-7.795234898028887e-06
6,26.0,0.001001119613647461,0.0,-0.0008425994388754167
7,10.0,0.0,0.0,-9.334307736871047e-05
8,12.0,0.0,0.0,-8.425994388754163e-05
9,114.0,0.00500178337097168,0.0,-0.0006284590726455345
10,48.0,0.0020008087158203125,0.0,-0.0008184665694155293
11,20.0,0.0010004043579101562,0.0,-5.3412726597190966e-05
12,22.0,0.0010001659393310547,0.0,-8.372351752015597e-06
13,10.0,0.0,0.0,-8.42599438875416e-06
14,7.0,0.0,0.0,-7.878075338860565e-06
15,91.0,0.004001140594482422,0.0,-0.0006599548389593523
16,24.0,0.002001047134399414,0.0,-9.334307736871048e-08
17,12.0,0.0010006427764892578,0.0,-8.425994388754162e-07
18,40.0,0.0019998550415039062,0.0,-8.42599438875416e-08
19,68.0,0.003000974655151367,0.0,-3.955109123070347e-05
20,24.0,0.0020003318786621094,0.0,-8.372351752015596e-08
21,24.0,0.0010001659393310547,0.0,-1.711372042403769e-06
22,22.0,0.0010001659393310547,0.0,-3.733265659092022e-07
23,15.0,0.0010006427764892578,0.0,-7.878075338860567e-09
24,7.0,0.0,0.0,-9.595866803765402e-10
25,56.0,0.003000497817993164,0.0,-7.795234898028889e-08
26,18.0,0.0,0.0,-0.0006565961952788472
27,26.0,0.0009999275207519531,0.0,-8.425994388754152e-09
28,26.0,0.0010004043579101562,0.0,-8.421165263006137e-05
29,33.0,0.0020008087158203125,0.0,-7.878075338860568e-10
30,96.0,0.004000663757324219,0.0,-0.0005015288778364359
31,25.0,0.0010001659393310547,0.0,-0.00013233971581683168
32,30.0,0.0019991397857666016,0.0,-7.324006382779352e-07
33,56.0,0.003000020980834961,0.0,-8.184665694155292e-06
34,28.0,0.0010001659393310547,0.0,-6.599548389593526e-05
35,20.0,0.0010004043579101562,0.0,-1.6566146638964945e-06
36,68.0,0.003000497817993164,0.0,-7.986045881978881e-06
37,92.0,0.004000663757324219,0.0,-3.8148909242082614e-05
38,88.0,0.00500178337097168,0.0,-0.00023130747812261242
39,23.0,0.00099945068359375,0.0,-3.814890924208263e-06
40,46.0,0.0020012855529785156,0.0,-8.425994388754145e-13
41,6.0,0.0009999275207519531,0.0,-7.87807533886057e-11
42,30.0,0.0019996166229248047,0.0,-0.0008607665483652043
43,17.0,0.0010001659393310547,0.0,-9.811630659236802e-11
44,65.0,0.004000186920166016,0.0,-9.334307736871037e-13
45,113.0,0.005000591278076172,0.0,-5.057527894563441e-05
46,12.0,0.0010001659393310547,0.0,-9.81572477870336e-09
47,34.0,0.001999378204345703,0.0,-0.0008203406184283874
48,19.0,0.0010006427764892578,0.0,-9.334307736871039e-14
49,25.0,0.0010004043579101562,0.0,-8.425994388754145e-14
50,9.0,0.0010013580322265625,0.0,-7.878075338860568e-14
51,15.0,0.001001119613647461,0.0,-9.811630659236795e-13
52,18.0,0.0,0.0,-7.581722825362806e-09
53,18.0,0.0010001659393310547,0.0,-9.334307736871031e-15
54,50.0,0.0030002593994140625,0.0,-8.425994388754141e-16
55,41.0,0.002000570297241211,0.0,-9.334307736871027e-17
56,13.0,0.0,0.0,-8.425994388754137e-17
57,22.0,0.0010006427764892578,0.0,-7.878075338860569e-17
58,9.0,0.0010001659393310547,0.0,-8.425994388754137e-18
59,27.0,0.0020008087158203125,0.0,-3.617333475727727e-06
60,92.0,0.004999876022338867,0.0,-7.878075338860563e-19
61,13.0,0.001001119613647461,0.0,-9.595866803765394e-12
62,61.0,0.0030007362365722656,0.0,-9.334307736871014e-20
63,7.0,0.0,0.0,-7.878075338860563e-20
64,21.0,0.001999378204345703,0.0,-3.814890924208262e-07
65,23.0,0.0010004043579101562,0.0,-8.372351752015572e-13
66,71.0,0.003000020980834961,0.0,-9.334307736871005e-22
67,25.0,0.00099945068359375,0.0,-7.32400638277935e-08
68,51.0,0.003000497817993164,0.0,-8.425994388754115e-22
69,15.0,0.0010004043579101562,0.0,-9.811630659236793e-14
70,24.0,0.0019998550415039062,0.0,-9.334307736871001e-23
71,128.0,0.0060002803802490234,0.0,-2.4548323259756837e-07
72,32.0,0.0009999275207519531,0.0,-3.733265659092023e-08
73,82.0,0.00400090217590332,0.0,-7.878075338860543e-24
74,36.0,0.0020003318786621094,0.0,-2.4548323259756837e-09
75,22.0,0.0010006427764892578,0.0,-9.595866803765382e-15
76,27.0,0.00099945068359375,0.0,-0.0008659047101421849
77,27.0,0.0010001659393310547,0.0,-5.555570651249768e-06
78,33.0,0.0009999275207519531,0.0,-8.425994388754111e-25
79,33.0,0.0009999275207519531,0.0,-8.372351752015566e-16
80,25.0,0.0010001659393310547,0.0,-7.795234898028883e-09
81,50.0,0.003000974655151367,0.0,-9.815724778703353e-11
82,44.0,0.0030002593994140625,0.0,-7.986045881978876e-07
83,12.0,0.0009999275207519531,0.0,-7.324006382779349e-10
84,15.0,0.0009992122650146484,0.0,-9.59586680376537e-17
85,52.0,0.003001689910888672,0.0,-7.6235699077840285e-06
86,69.0,0.004001617431640625,0.0,-8.421165263006137e-07
87,38.0,0.0020003318786621094,0.0,-7.8780753388605445e-28
88,16.0,0.0009999275207519531,0.0,-9.334307736870964e-29
89,88.0,0.00400090217590332,0.0,-3.955109123070347e-06
90,45.0,0.003000497817993164,0.0,-0.00021136085363909873
91,26.0,0.0010001659393310547,0.0,-7.878075338860545e-29
92,14.0,0.0010008811950683594,0.0,-7.324006382779349e-11
93,34.0,0.0020003318786621094,0.0,-9.334307736870957e-30
94,21.0,0.0010004043579101562,0.0,-9.811630659236778e-19
95,42.0,0.0020008087158203125,0.0,-1.6566146638964933e-08
96,24.0,0.00099945068359375,0.0,-7.581722825362798e-11
97,19.0,0.0010004043579101562,0.0,-9.811630659236774e-20
98,27.0,0.0019986629486083984,0.0,-0.00017353839029836694
99,29.0,0.0020003318786621094,0.0,-0.0006102026813632165
100,52.0,0.0030012130737304688,0.0,-9.334307736870948e-32
101,24.0,0.0009996891021728516,0.0,-9.811630659236766e-21
102,51.0,0.0020003318786621094,0.0,-1.656614663896492e-09
103,80.0,0.00400090217590332,0.0,-0.0009745453363930172
104,24.0,0.0010004043579101562,0.0,-8.425994388754106e-32
105,33.0,0.0010004043579101562,0.0,-7.878075338860529e-32
106,89.0,0.004001140594482422,0.0,-6.565961952788471e-06
107,19.0,0.0,0.0,-7.878075338860524e-33
108,35.0,0.002000570297241211,0.0,-1.5650893688655932e-09
109,5.0,0.0,0.0,-9.811630659236766e-22
110,69.0,0.003000974655151367,0.0,-1.3233971581683146e-08
111,33.0,0.002000570297241211,0.0,-3.9551091230703467e-07
112,29.0,0.0009999275207519531,0.0,-7.878075338860521e-34
113,73.0,0.0030012130737304688,0.0,-9.815724778703345e-13
114,16.0,0.00099945068359375,0.0,-7.878075338860523e-35
115,44.0,0.002001047134399414,0.0,-8.425994388754096e-35
116,14.0,0.0,0.0,-6.59954838959352e-09
117,19.0,0.0010004043579101562,0.0,-9.334307736870938e-36
118,26.0,0.002000093460083008,0.0,-0.0004063204903098352
119,24.0,0.0009996891021728516,0.0,-8.372351752015557e-21
120,42.0,0.0020003318786621094,0.0,-0.0009646324073337046
121,19.0,0.0010001659393310547,0.0,-8.372351752015551e-22
122,105.0,0.005000591278076172,0.0,-1.323397158168314e-09
123,14.0,0.0010008811950683594,0.0,-8.42599438875409e-38
124,60.0,0.0020003318786621094,0.0,-7.986045881978874e-09
125,75.0,0.004001617431640625,0.0,-0.00047381075697496423
126,78.0,0.004002094268798828,0.0,-6.122069747123157e-06
127,8.0,0.0009996891021728516,0.0,-7.878075338860511e-40
128,37.0,0.0019996166229248047,0.0,-8.607665483652044e-05
129,103.0,0.0050013065338134766,0.0,-9.334307736870913e-42
130,25.0,0.0010001659393310547,0.0,-1.7113720424037664e-13
131,49.0,0.002001523971557617,0.0,-7.581722825362789e-14
132,12.0,0.001001119613647461,0.0,-7.878075338860515e-42
133,51.0,0.003000497817993164,0.0,-9.951897759016023e-08
134,80.0,0.004001140594482422,0.0,-0.0002176546819700972
135,39.0,0.0020008087158203125,0.0,-1.7113720424037653e-14
136,31.0,0.0019996166229248047,0.0,-8.372351752015553e-23
137,32.0,0.0020008087158203125,0.0,-7.795234898028881e-11
138,96.0,0.00500035285949707,0.0,-8.421165263006138e-10
139,17.0,0.0009989738464355469,0.0,-8.425994388754075e-43
140,10.0,0.0009999275207519531,0.0,-7.87807533886051e-43
141,8.0,0.0010001659393310547,0.0,-3.7332656590920146e-11
142,23.0,0.0020003318786621094,0.0,-1.323397158168314e-10
143,29.0,0.0009996891021728516,0.0,-9.811630659236767e-25
144,9.0,0.0,0.0,-8.372351752015543e-25
145,9.0,0.0,0.0,-9.334307736870908e-44
146,10.0,0.0,0.0,-8.425994388754069e-44
147,46.0,0.0020003318786621094,0.0,-0.00014856313240802977
148,24.0,0.0009996891021728516,0.0,-7.878075338860507e-44
149,42.0,0.002001047134399414,0.0,-9.815724778703345e-15
150,4.0,0.0,0.0,-8.372351752015545e-26
151,35.0,0.002000570297241211,0.0,-6.599548389593518e-11
152,12.0,0.0,0.0,-8.425994388754063e-45
153,10.0,0.0,0.0,-9.81163065923675e-27
154,48.0,0.002000570297241211,0.0,-8.372351752015545e-27
155,49.0,0.003000974655151367,0.0,-7.878075338860504e-46
156,26.0,0.0020008087158203125,0.0,-6.28459072645534e-09
157,22.0,0.0009996891021728516,0.0,-9.595866803765339e-28
158,26.0,0.0010001659393310547,0.0,-7.878075338860501e-47
159,25.0,0.0020003318786621094,0.0,-3.955109123070343e-09
160,125.0,0.0060024261474609375,0.0,-8.372351752015536e-28
161,50.0,0.0019996166229248047,0.0,-2.4548323259756843e-11
162,22.0,0.002000093460083008,0.0,-9.595866803765335e-29
163,79.0,0.004000425338745117,0.0,-0.0003519058166505559
164,11.0,0.0010004043579101562,0.0,-1.7113720424037653e-15
165,17.0,0.0010001659393310547,0.0,-8.42599438875405e-49
166,16.0,0.0,0.0,-3.9551091230703416e-10
167,12.0,0.0,0.0,-9.334307736870895e-50
168,15.0,0.0010001659393310547,0.0,-8.4259943887540505e-50
169,12.0,0.0009996891021728516,0.0,-4.16930292851968e-05
170,35.0,0.0019996166229248047,0.0,-7.581722825362784e-16
171,29.0,0.0020003318786621094,0.0,-9.811630659236736e-30
172,14.0,0.0010006427764892578,0.0,-9.81163065923673e-31
173,15.0,0.0,0.0,-9.595866803765338e-30
174,14.0,0.0,0.0,-8.372351752015529e-30
175,30.0,0.0010001659393310547,0.0,-8.425994388754048e-52
176,24.0,0.0010008811950683594,0.0,-1.323397158168314e-11
177,39.0,0.0010008811950683594,0.0,-7.324006382779346e-12
178,46.0,0.002001047134399414,0.0,-8.372351752015526e-31
179,14.0,0.0,0.0,-9.334307736870876e-53
180,14.0,0.0010004043579101562,0.0,-3.733265659092013e-12
181,27.0,0.0009996891021728516,0.0,-8.372351752015525e-33
182,31.0,0.0010001659393310547,0.0,-2.113608536390984e-07
183,34.0,0.0010001659393310547,0.0,-5.5919836352809576e-05
184,6.0,0.0,0.0,-9.33430773687088e-54
185,53.0,0.0020008087158203125,0.0,-9.811630659236725e-34
186,23.0,0.0010004043579101562,0.0,-5.341272659719089e-10
187,31.0,0.0020003318786621094,0.0,-6.565961952788471e-08
188,23.0,0.002001523971557617,0.0,-8.425994388754041e-54
189,60.0,0.0030012130737304688,0.0,-0.0006567928955668737
190,34.0,0.001999378204345703,0.0,-9.334307736870873e-55
191,6.0,0.0,0.0,-8.372351752015523e-34
192,20.0,0.0010004043579101562,0.0,-8.18466569415528e-10
193,17.0,0.0010006427764892578,0.0,-9.595866803765304e-35
194,18.0,0.0010001659393310547,0.0,-8.372351752015521e-35
195,15.0,0.0,0.0,-8.425994388754036e-55
196,75.0,0.0030007362365722656,0.0,-4.7381075697496434e-05
197,44.0,0.002001047134399414,0.0,-1.925568183881973e-05
198,62.0,0.002000570297241211,0.0,-3.617333475727725e-10
199,57.0,0.0030019283294677734,0.0,-2.454832325975684e-13
200,23.0,0.0010001659393310547,0.0,-6.28459072645534e-10
201,103.0,0.00500178337097168,0.0,-8.425994388754024e-57
202,13.0,0.0010004043579101562,0.0,-5.341272659719091e-11
203,14.0,0.0010001659393310547,0.0,-9.595866803765304e-36
204,35.0,0.0009992122650146484,0.0,-7.623569907784014e-11
205,10.0,0.0,0.0,-9.334307736870859e-58
206,19.0,0.0010004043579101562,0.0,-6.284590726455334e-11
207,73.0,0.00400090217590332,0.0,-4.169302928519678e-06
208,47.0,0.002000093460083008,0.0,-7.581722825362788e-19
209,8.0,0.0,0.0,-8.372351752015521e-37
210,49.0,0.0020008087158203125,0.0,-3.807921687476505e-05
211,20.0,0.001001119613647461,0.0,-7.986045881978861e-13
212,11.0,0.0009987354278564453,0.0,-5.555570651249764e-11
213,10.0,0.0009996891021728516,0.0,-9.811630659236716e-38
214,37.0,0.0020008087158203125,0.0,-8.421165263006139e-13
