params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",1.443324089050293,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",1.3383018970489502,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",1.334301233291626,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",0.7171623706817627,100,0.00025410291352768983,0.0,0.0,0.010101010101010102,0.0014743792725808744
"{""discount_factor"": 0.4}",0.8171834945678711,100,0.0007373886969081967,0.0,0.0,0.023809523809523808,0.003450182653833454
"{""discount_factor"": 0.5}",0.6776566505432129,100,0.003102147354800252,0.0,0.0,0.02702702702702703,0.006625559888175573
"{""discount_factor"": 0.6}",0.7171618938446045,100,0.009503633437740088,0.008810743673342648,0.0,0.041666666666666664,0.010179699992000146
"{""discount_factor"": 0.7}",0.8091907501220703,100,0.00949342938185997,0.008939974457215836,0.0,0.041666666666666664,0.010209628481469227
"{""discount_factor"": 0.8}",0.8041815757751465,100,0.011367249756346816,0.010752688172043012,0.0,0.041666666666666664,0.010434891736545361
"{""discount_factor"": 0.9}",0.7891781330108643,100,0.013282296691325851,0.0125,0.0,0.045454545454545456,0.010514944098456436
