steps,time,reward,delta,converged
1,0.004002094268798828,133.19678222122207,144.84552956051914,False
2,0.0060002803802490234,671.1375038418265,26.243838900488374,False
3,0.006001710891723633,711.8181380586459,0.27579550062630376,False
4,0.006001472473144531,712.1005471932526,0.11031710034482867,False
5,0.006002187728881836,712.213506439286,0.044125739641141415,False
6,0.006001472473144531,712.2586857152453,0.017649193881922765,False
7,0.0060002803802490234,712.2767529940518,0.007058571883876041,False
8,0.006001710891723633,712.2795753232938,2.7487790816849156e-06,True
