params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",1.500338077545166,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1}",1.2238569259643555,100,-3.1014423076923077,6.769230769230769,-13.375,6.769230769230769,10.070100760055857
"{""discount_factor"": 0.2}",1.1932682991027832,100,-2.2956730769230766,6.769230769230769,-13.375,6.769230769230769,10.021628272780617
"{""discount_factor"": 0.3}",1.1882681846618652,100,-2.698557692307692,6.769230769230769,-13.375,6.769230769230769,10.053969230659614
"{""discount_factor"": 0.4}",1.2192742824554443,100,-2.4971153846153844,6.769230769230769,-13.375,6.769230769230769,10.039832880469248
"{""discount_factor"": 0.5}",1.2292780876159668,100,-3.5043269230769227,-13.375,-13.375,6.769230769230769,10.070100760055857
"{""discount_factor"": 0.6}",1.2962908744812012,100,-1.8927884615384614,6.769230769230769,-13.375,6.769230769230769,9.972920192095904
"{""discount_factor"": 0.7}",1.2772879600524902,100,-3.5043269230769227,-13.375,-13.375,6.769230769230769,10.070100760055857
"{""discount_factor"": 0.8}",1.3853130340576172,100,-3.5043269230769227,-13.375,-13.375,6.769230769230769,10.070100760055857
"{""discount_factor"": 0.9}",1.4353232383728027,100,-2.698557692307692,6.769230769230769,-13.375,6.769230769230769,10.053969230659614
